Point Name,Volttron Point Name,Units,Unit Details,BACnet Object Type,Property,Writable,Index,Notes
10MinSin_AV,900.AV2,,,analogValue,presentValue,FALSE,2,
60MinSin_AV,900.AV3,,,analogValue,presentValue,FALSE,3,
DayCount_AV,900.AV4,,,analogValue,presentValue,FALSE,4,
HourCount_AV,900.AV5,,,analogValue,presentValue,FALSE,5,
MinuteCount_AV,900.AV6,,,analogValue,presentValue,FALSE,6,
Consumption_AV,900.AV7,,,analogValue,presentValue,FALSE,7,
Apparent_Consumption_AV,900.AV8,,,analogValue,presentValue,FALSE,8,
OAT,900.AV9,,,analogValue,presentValue,FALSE,9,
Electric Meter Increment1s,900.AV13,,,analogValue,presentValue,FALSE,13,
Electric Meter Increment2s,900.AV14,,,analogValue,presentValue,FALSE,14,
Gas Meter 1,900.AV15,,,analogValue,presentValue,FALSE,15,
Gas Meter 2,900.AV16,,,analogValue,presentValue,FALSE,16,
Mwh Plug Load,900.AV20,,,analogValue,presentValue,FALSE,20,
