Point Name,Volttron Point Name,Units,Unit Details,BACnet Object Type,Property,Writable,Index,Notes
10MinSin_AV,10MinSin_AV,,,analogValue,presentValue,FALSE,2,
60MinSin_AV,60MinSin_AV,,,analogValue,presentValue,FALSE,3,
DayCount_AV,DayCount_AV,,,analogValue,presentValue,FALSE,4,
HourCount_AV,HourCount_AV,,,analogValue,presentValue,FALSE,5,
MinuteCount_AV,MinuteCount_AV,,,analogValue,presentValue,FALSE,6,
Consumption_AV,Consumption_AV,,,analogValue,presentValue,FALSE,7,
Apparent_Consumption_AV,Apparent_Consumption_AV,,,analogValue,presentValue,FALSE,8,
OAT,OAT,,,analogValue,presentValue,FALSE,9,
script,script,,,analogValue,presentValue,FALSE,10,
Electric Meter Increment1s,Electric Meter Increment1s,,,analogValue,presentValue,FALSE,13,
Electric Meter Increment2s,Electric Meter Increment2s,,,analogValue,presentValue,FALSE,14,
Gas Meter 1,Gas Meter 1,,,analogValue,presentValue,FALSE,15,
Gas Meter 2,Gas Meter 2,,,analogValue,presentValue,FALSE,16,
DEV299 Decimal Time,DEV299 Decimal Time,,,analogValue,presentValue,FALSE,17,
DEV Description,DEV Description,,,analogValue,presentValue,FALSE,18,
temp av,temp av,,,analogValue,presentValue,FALSE,19,
Mwh Plug Load,Mwh Plug Load,,,analogValue,presentValue,FALSE,20,
